"STATION","NAME","DATE","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-01",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-02",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-03",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-04",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-05",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-06",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-07",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-08",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-09",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-10",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-11",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-12",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-13",,,,"0.0",,,
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-14",,,"0.8","0.0",,"16.7",
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-15",,,"0.3","0.0",,"15.6","5.6"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-16",,,"0.0","0.0",,"21.1","3.3"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-17",,,"6.1","0.0",,"13.3","5.6"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-18",,,"0.0","0.0",,"18.9","8.3"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-19",,,"1.5","0.0",,"13.9","6.1"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-20",,,"10.7","0.0",,"10.0","6.1"
"CA001173191","GLACIER NATIONAL PARK ROGERS PASS, BC CA","1965-06-21",,,"0.0","0.0",,"10.0","3.3"
