"STATION","NAME","DATE","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-01",,,"0.0","0.0",,"-13.9","-27.2"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-02",,,"0.0","0.0",,"-15.0","-22.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-03",,,"0.0","0.0",,"-17.8","-31.1"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-04",,,"0.0","0.0",,"-16.7","-25.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-05",,,"0.0","0.0",,"-20.0","-33.3"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-06",,,"0.0","0.0",,"-18.3","-23.3"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-07",,,"0.0","0.0",,"-12.2","-21.1"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-08",,,"0.0","0.0",,"-18.3","-24.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-09",,,"6.4","64.0",,"-20.0","-34.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-10",,,"0.0","0.0",,"-23.3","-34.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-11",,,"0.0","0.0",,"-22.2","-35.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-12",,,"15.2","152.0",,"-11.7","-25.6"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-13",,,"6.4","64.0",,"-6.7","-22.2"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-14",,,"33.0","330.0",,"0.0","-17.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-15",,,"0.0","0.0",,"1.7","-26.1"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-16",,,"6.4","64.0",,"1.7","-1.1"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-17",,,"0.0","0.0",,"-2.2","-4.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-18",,,"6.4","64.0",,"-2.2","-15.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-19",,,"2.5","25.0",,"-2.8","-5.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-20",,,"2.5","25.0",,"-6.1","-7.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-21",,,"5.1","51.0",,"-8.3","-20.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-22",,,"17.8","178.0",,"-7.2","-12.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-23",,,"10.4","104.0",,"-2.2","-10.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-24",,,"5.1","51.0",,"-1.7","-5.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-25",,,"2.5","25.0",,"-1.1","-3.3"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-26",,,"8.1","81.0",,"-1.7","-6.7"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-27",,,"10.2","102.0",,"-4.4","-7.2"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-28",,,"25.4","254.0",,"-2.8","-5.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-29",,,"8.9","89.0",,"-4.4","-7.2"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-30",,,"0.0","0.0",,"-12.8","-22.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-01-31",,,"2.5","25.0",,"-12.8","-23.3"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-01",,,"8.1","81.0",,"-6.1","-14.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-02",,,"10.2","102.0",,"-6.1","-9.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-03",,,"11.4","114.0",,"-6.1","-6.7"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-04",,,"6.4","64.0",,"-1.7","-4.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-05",,,"0.0","0.0",,"-4.4","-15.0"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-06",,,"0.0","0.0",,"-3.9","-8.9"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-07",,,"0.0","0.0",,"-6.1","-12.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-08",,,"0.0","0.0",,"-2.2","-10.6"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-09",,,"0.0","0.0",,"-0.6","-6.7"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-10",,,"0.0","0.0",,"-1.1","-7.8"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-11",,,"0.0","0.0",,"-0.6","-7.2"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-12",,,"2.5","25.0",,"-2.2","-4.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-13",,,"0.0","0.0",,"-1.1","-4.4"
"CA00117900R","YOHO NATIONAL PARK WAPTA LAKE, BC CA","1974-02-14",,,"0.0","0.0",,"-0.6","-5.0"
